Capabilities,SubCapability,TEBStatus,NameofTools,Version,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,Description,MetaTags,MetaTagsDescription,CapabilityManager
Networking,Data Lake,Provisional Standard,Cosmos DB,1.3.5,Provisional until further risk assessment is complete.,Vendor support SLA reviewed by procurement.,Atlassian,Product Standard,EA3749894,"Cosmos DB is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, Data Engineering, BM25",CI/CD: scope or capability related to ci/cd. Data Engineering: scope or capability related to data engineering. BM25: scope or capability related to bm25.,Sam Brown
Platforms,Data Lake,TEB Approved,Kubernetes,2.4.0,Approved as a standard for enterprise use.,Vendor support SLA reviewed by procurement.,Snowflake,Product Standard,EA7109477,"Kubernetes is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","RAG, Analytics, Contact Center, Semantic Ranker, DevOps, Agent Assist",RAG: scope or capability related to rag. Analytics: scope or capability related to analytics. Contact Center: scope or capability related to contact center. Semantic Ranker: scope or capability related to semantic ranker. DevOps: scope or capability related to devops. Agent Assist: scope or capability related to agent assist.,Reese Patel
Databases,Secrets Mgmt,TEB Approved,GCS,1.2.2,Document architecture in the catalog and link runbooks.,Pilot completed with positive feedback from stakeholders.,Google,Product Standard,EA1869993,"GCS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, CI/CD, BM25, Cloud Communications, Observability, Cache",Automation: scope or capability related to automation. CI/CD: scope or capability related to ci/cd. BM25: scope or capability related to bm25. Cloud Communications: scope or capability related to cloud communications. Observability: scope or capability related to observability. Cache: scope or capability related to cache.,Cameron Anderson
Collaboration,SaaS Integration,TEB Approved,Azure DevOps,2.3.4,Provisional until further risk assessment is complete.,Deprecated for new deployments; maintain only.,Cisco,Product Standard,EA8120679,"Azure DevOps is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","BM25, Contact Center, Vector Search, CI/CD, PII, Edge",BM25: scope or capability related to bm25. Contact Center: scope or capability related to contact center. Vector Search: scope or capability related to vector search. CI/CD: scope or capability related to ci/cd. PII: scope or capability related to pii. Edge: scope or capability related to edge.,Shawn Harris
Analytics,Routing,TEB Not Approved,Redis Enterprise,3.9.3,Enable logging and tag resources for cost allocation.,Provisional until further risk assessment is complete.,NVIDIA,Product Standard,EA2421024,"Redis Enterprise is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Agent Assist, PII, BM25, Cost Management",Automation: scope or capability related to automation. Agent Assist: scope or capability related to agent assist. PII: scope or capability related to pii. BM25: scope or capability related to bm25. Cost Management: scope or capability related to cost management.,Casey Martinez
DevOps,Secrets Mgmt,Deprecated,Kafka,1.6.5,Document architecture in the catalog and link runbooks.,Pilot completed with positive feedback from stakeholders.,Microsoft,Provisional Standard,EA3990490,"Kafka is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","DevOps, Serverless, Disaster Recovery, Automation",DevOps: scope or capability related to devops. Serverless: scope or capability related to serverless. Disaster Recovery: scope or capability related to disaster recovery. Automation: scope or capability related to automation.,Robin Williams
Platforms,Edge CDN,Deprecated,Dataflow,4.1.7,Requires private endpoint and managed identity configuration.,Enable logging and tag resources for cost allocation.,HashiCorp,Reference Standard,EA1256746,"Dataflow is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Customer Experience, RAG",Automation: scope or capability related to automation. Customer Experience: scope or capability related to customer experience. RAG: scope or capability related to rag.,Casey Brown
Finance Tools,ETL/ELT,Under Review,Bedrock,1.8.7,Enable logging and tag resources for cost allocation.,Approved as a standard for enterprise use.,Zoom,Legacy,EA5977034,"Bedrock is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","BM25, Automation, PII, DevOps",BM25: scope or capability related to bm25. Automation: scope or capability related to automation. PII: scope or capability related to pii. DevOps: scope or capability related to devops.,Jordan Nguyen
Identity & Access Mgmt,SaaS Integration,TEB Not Approved,Kubernetes,2.4.8,Approved as a standard for enterprise use.,Vendor support SLA reviewed by procurement.,Elastic,Provisional Standard,EA3171274,"Kubernetes is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Observability, CI/CD, DevOps, Vector Search, Automation",Observability: scope or capability related to observability. CI/CD: scope or capability related to ci/cd. DevOps: scope or capability related to devops. Vector Search: scope or capability related to vector search. Automation: scope or capability related to automation.,Jamie Kim
Databases,API Gateway,Under Review,Dynatrace,2.1.4,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,MongoDB,Reference Standard,EA0449972,"Dynatrace is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Networking, DevOps, LLM Orchestration, RAG, CI/CD, PII",Networking: scope or capability related to networking. DevOps: scope or capability related to devops. LLM Orchestration: scope or capability related to llm orchestration. RAG: scope or capability related to rag. CI/CD: scope or capability related to ci/cd. PII: scope or capability related to pii.,Riley Wilson
Storage,API Gateway,TEB Not Approved,GCS,4.3.6,Approved as a standard for enterprise use.,Requires private endpoint and managed identity configuration.,OpenAI,Internal Only,EA6270289,"GCS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Agent Assist, Automation, Serverless, AI Experience Platform, Edge",Agent Assist: scope or capability related to agent assist. Automation: scope or capability related to automation. Serverless: scope or capability related to serverless. AI Experience Platform: scope or capability related to ai experience platform. Edge: scope or capability related to edge.,Taylor Davis
Content Services,Key Management,TEB Approved,Azure Monitor,3.5.9,Enable logging and tag resources for cost allocation.,Provisional until further risk assessment is complete.,HashiCorp,Legacy,EA6578091,"Azure Monitor is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Disaster Recovery, Compliance, BM25, Vector Search",Disaster Recovery: scope or capability related to disaster recovery. Compliance: scope or capability related to compliance. BM25: scope or capability related to bm25. Vector Search: scope or capability related to vector search.,Shawn Patel
Databases,Observability,TEB Approved,Prometheus,2.4.0,Approved as a standard for enterprise use.,Requires private endpoint and managed identity configuration.,Amazon,Reference Standard,EA5562386,"Prometheus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Analytics, Customer Experience, Backup, Cost Management",Analytics: scope or capability related to analytics. Customer Experience: scope or capability related to customer experience. Backup: scope or capability related to backup. Cost Management: scope or capability related to cost management.,Cameron Thomas
Security,Secrets Mgmt,Under Review,Kong Gateway,2.7.4,Hybrid retrieval and strict filtering supported.,Pilot completed with positive feedback from stakeholders.,Microsoft,Internal Only,EA4821759,"Kong Gateway is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Disaster Recovery, Observability, PII, Semantic Ranker, Automation",Disaster Recovery: scope or capability related to disaster recovery. Observability: scope or capability related to observability. PII: scope or capability related to pii. Semantic Ranker: scope or capability related to semantic ranker. Automation: scope or capability related to automation.,Reese Williams
Security,ETL/ELT,Deprecated,Event Hubs,2.6.9,Requires private endpoint and managed identity configuration.,Document architecture in the catalog and link runbooks.,Snowflake,Reference Standard,EA0640909,"Event Hubs is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, BM25, Cache, Vector Search, Backup, LLM Orchestration",CI/CD: scope or capability related to ci/cd. BM25: scope or capability related to bm25. Cache: scope or capability related to cache. Vector Search: scope or capability related to vector search. Backup: scope or capability related to backup. LLM Orchestration: scope or capability related to llm orchestration.,Sam Thomas
Security,SaaS Integration,Provisional Standard,EKS,2.1.0,Pilot completed with positive feedback from stakeholders.,Hybrid retrieval and strict filtering supported.,Amazon,Legacy,EA5214562,"EKS is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","UC Platform, Microservices, Networking, LLM Orchestration",UC Platform: scope or capability related to uc platform. Microservices: scope or capability related to microservices. Networking: scope or capability related to networking. LLM Orchestration: scope or capability related to llm orchestration.,Jamie Martinez
Networking,Endpoint Security,Provisional Standard,NVIDIA Triton,4.4.5,Provisional until further risk assessment is complete.,Hybrid retrieval and strict filtering supported.,Google,Product Standard,EA3685160,"NVIDIA Triton is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Networking, Agent Assist, Automation, LLM Orchestration, Compliance",Networking: scope or capability related to networking. Agent Assist: scope or capability related to agent assist. Automation: scope or capability related to automation. LLM Orchestration: scope or capability related to llm orchestration. Compliance: scope or capability related to compliance.,Shawn Thomas
Networking,Edge CDN,Deprecated,Bedrock,3.1.3,Hybrid retrieval and strict filtering supported.,Approved as a standard for enterprise use.,ServiceNow,Legacy,EA5931746,"Bedrock is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","UC Platform, Contact Center, BM25",UC Platform: scope or capability related to uc platform. Contact Center: scope or capability related to contact center. BM25: scope or capability related to bm25.,Morgan Patel
Finance Tools,Feature Store,Under Review,Istio,4.7.5,Vendor support SLA reviewed by procurement.,Enable logging and tag resources for cost allocation.,Adobe,Product Standard,EA6179640,"Istio is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Data Engineering, Automation, Vector Search, LLM Orchestration, Agent Assist",Data Engineering: scope or capability related to data engineering. Automation: scope or capability related to automation. Vector Search: scope or capability related to vector search. LLM Orchestration: scope or capability related to llm orchestration. Agent Assist: scope or capability related to agent assist.,Avery Brown
DevOps,Object Storage,TEB Approved,GuardDuty,3.3.1,Hybrid retrieval and strict filtering supported.,Provisional until further risk assessment is complete.,Zoom,Legacy,EA0053293,"GuardDuty is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","CI/CD, Cache, Networking",CI/CD: scope or capability related to ci/cd. Cache: scope or capability related to cache. Networking: scope or capability related to networking.,Sam Anderson
Security,Feature Store,Provisional Standard,Jenkins,2.9.0,Pilot completed with positive feedback from stakeholders.,Deprecated for new deployments; maintain only.,IBM,Legacy,EA4210205,"Jenkins is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Cloud Communications, RAG, AI Experience Platform, Analytics",Cloud Communications: scope or capability related to cloud communications. RAG: scope or capability related to rag. AI Experience Platform: scope or capability related to ai experience platform. Analytics: scope or capability related to analytics.,Casey Nguyen
Platforms,Queueing,Under Review,API Management,1.7.7,Requires private endpoint and managed identity configuration.,Vendor support SLA reviewed by procurement.,Adobe,Provisional Standard,EA7839084,"API Management is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Disaster Recovery, AI Experience Platform, Contact Center, DevOps, Cost Management, Observability",Disaster Recovery: scope or capability related to disaster recovery. AI Experience Platform: scope or capability related to ai experience platform. Contact Center: scope or capability related to contact center. DevOps: scope or capability related to devops. Cost Management: scope or capability related to cost management. Observability: scope or capability related to observability.,Avery Patel
Analytics,Pub/Sub,TEB Approved,Cohere Embed,1.5.9,Deprecated for new deployments; maintain only.,Provisional until further risk assessment is complete.,IBM,Reference Standard,EA9985698,"Cohere Embed is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Serverless, Backup, Observability, Agent Assist",Automation: scope or capability related to automation. Serverless: scope or capability related to serverless. Backup: scope or capability related to backup. Observability: scope or capability related to observability. Agent Assist: scope or capability related to agent assist.,Kendall Jackson
Finance Tools,Backup & DR,TEB Not Approved,Grafana,4.3.6,Requires private endpoint and managed identity configuration.,Hybrid retrieval and strict filtering supported.,Redis Labs,Internal Only,EA1565452,"Grafana is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Customer Experience, CI/CD, Microservices, Cache, Observability, Agent Assist",Customer Experience: scope or capability related to customer experience. CI/CD: scope or capability related to ci/cd. Microservices: scope or capability related to microservices. Cache: scope or capability related to cache. Observability: scope or capability related to observability. Agent Assist: scope or capability related to agent assist.,Shawn Jackson
Storage,Key Management,Under Review,Service Bus,3.1.6,Requires private endpoint and managed identity configuration.,Enable logging and tag resources for cost allocation.,Amazon,Reference Standard,EA9451983,"Service Bus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Compliance, DevOps, Vector Search, Agent Assist",Compliance: scope or capability related to compliance. DevOps: scope or capability related to devops. Vector Search: scope or capability related to vector search. Agent Assist: scope or capability related to agent assist.,Drew Harris
DevOps,Object Storage,TEB Approved,Azure DevOps,3.9.3,Enable logging and tag resources for cost allocation.,Vendor support SLA reviewed by procurement.,ServiceNow,Legacy,EA8094024,"Azure DevOps is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","RAG, LLM Orchestration, AI Experience Platform, Analytics, UC Platform",RAG: scope or capability related to rag. LLM Orchestration: scope or capability related to llm orchestration. AI Experience Platform: scope or capability related to ai experience platform. Analytics: scope or capability related to analytics. UC Platform: scope or capability related to uc platform.,Cameron Thomas
Databases,Routing,TEB Not Approved,GitHub Actions,1.1.8,Meets security baselines and compliance requirements.,Enable logging and tag resources for cost allocation.,Elastic,Internal Only,EA5254599,"GitHub Actions is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Contact Center, UC Platform, Analytics",Contact Center: scope or capability related to contact center. UC Platform: scope or capability related to uc platform. Analytics: scope or capability related to analytics.,Kendall Anderson
Collaboration,Routing,Provisional Standard,Prometheus,4.7.9,Hybrid retrieval and strict filtering supported.,Enable logging and tag resources for cost allocation.,Databricks,Product Standard,EA8156149,"Prometheus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Serverless, Compliance, BM25, Contact Center, Vector Search, Cost Management",Serverless: scope or capability related to serverless. Compliance: scope or capability related to compliance. BM25: scope or capability related to bm25. Contact Center: scope or capability related to contact center. Vector Search: scope or capability related to vector search. Cost Management: scope or capability related to cost management.,Cameron Nguyen
Collaboration,API Gateway,Provisional Standard,Redshift,2.4.4,Requires private endpoint and managed identity configuration.,Provisional until further risk assessment is complete.,Microsoft,Internal Only,EA6226838,"Redshift is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Customer Experience, Cost Management, Edge, Contact Center, Observability",Customer Experience: scope or capability related to customer experience. Cost Management: scope or capability related to cost management. Edge: scope or capability related to edge. Contact Center: scope or capability related to contact center. Observability: scope or capability related to observability.,Alex Wilson
Finance Tools,Data Warehouse,Under Review,Grafana,4.6.4,Provisional until further risk assessment is complete.,Enable logging and tag resources for cost allocation.,Microsoft,Reference Standard,EA2975161,"Grafana is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Observability, Cloud Communications, Cost Management, Serverless",Observability: scope or capability related to observability. Cloud Communications: scope or capability related to cloud communications. Cost Management: scope or capability related to cost management. Serverless: scope or capability related to serverless.,Jordan Davis
Content Services,Data Lake,Provisional Standard,Cosmos DB,3.2.1,Vendor support SLA reviewed by procurement.,Provisional until further risk assessment is complete.,MongoDB,Legacy,EA3552312,"Cosmos DB is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Data Engineering, Analytics, Backup, UC Platform, Cache",Data Engineering: scope or capability related to data engineering. Analytics: scope or capability related to analytics. Backup: scope or capability related to backup. UC Platform: scope or capability related to uc platform. Cache: scope or capability related to cache.,Kendall Thomas
Finance Tools,Endpoint Security,Deprecated,CloudWatch,4.9.9,Requires private endpoint and managed identity configuration.,Requires private endpoint and managed identity configuration.,IBM,Internal Only,EA1774490,"CloudWatch is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Serverless, Customer Experience, BM25, Automation, Contact Center",Serverless: scope or capability related to serverless. Customer Experience: scope or capability related to customer experience. BM25: scope or capability related to bm25. Automation: scope or capability related to automation. Contact Center: scope or capability related to contact center.,Alex Brown
Content Services,Data Lake,TEB Approved,Airflow,1.9.9,Vendor support SLA reviewed by procurement.,Enable logging and tag resources for cost allocation.,VMware,Legacy,EA8079359,"Airflow is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Serverless, UC Platform, Contact Center, Automation, Agent Assist, RAG",Serverless: scope or capability related to serverless. UC Platform: scope or capability related to uc platform. Contact Center: scope or capability related to contact center. Automation: scope or capability related to automation. Agent Assist: scope or capability related to agent assist. RAG: scope or capability related to rag.,Shawn Patel
